data;ano;mes;nome_mes;trimestre;dia;dia_semana;fim_de_semana;ano_mes
2025-10-03;2025;10;Outubro;4;3;Sexta-feira;False;2025-10
2025-10-04;2025;10;Outubro;4;4;Sábado;True;2025-10
2025-10-05;2025;10;Outubro;4;5;Domingo;True;2025-10
2025-10-06;2025;10;Outubro;4;6;Segunda-feira;False;2025-10
2025-10-07;2025;10;Outubro;4;7;Terça-feira;False;2025-10
2025-10-08;2025;10;Outubro;4;8;Quarta-feira;False;2025-10
2025-10-09;2025;10;Outubro;4;9;Quinta-feira;False;2025-10
2025-10-10;2025;10;Outubro;4;10;Sexta-feira;False;2025-10
2025-10-11;2025;10;Outubro;4;11;Sábado;True;2025-10
2025-10-12;2025;10;Outubro;4;12;Domingo;True;2025-10
2025-10-13;2025;10;Outubro;4;13;Segunda-feira;False;2025-10
2025-10-14;2025;10;Outubro;4;14;Terça-feira;False;2025-10
2025-10-15;2025;10;Outubro;4;15;Quarta-feira;False;2025-10
2025-10-16;2025;10;Outubro;4;16;Quinta-feira;False;2025-10
2025-10-17;2025;10;Outubro;4;17;Sexta-feira;False;2025-10
2025-10-18;2025;10;Outubro;4;18;Sábado;True;2025-10
2025-10-19;2025;10;Outubro;4;19;Domingo;True;2025-10
2025-10-20;2025;10;Outubro;4;20;Segunda-feira;False;2025-10
2025-10-21;2025;10;Outubro;4;21;Terça-feira;False;2025-10
2025-10-22;2025;10;Outubro;4;22;Quarta-feira;False;2025-10
2025-10-23;2025;10;Outubro;4;23;Quinta-feira;False;2025-10
2025-10-24;2025;10;Outubro;4;24;Sexta-feira;False;2025-10
2025-10-25;2025;10;Outubro;4;25;Sábado;True;2025-10
2025-10-26;2025;10;Outubro;4;26;Domingo;True;2025-10
2025-10-27;2025;10;Outubro;4;27;Segunda-feira;False;2025-10
2025-10-28;2025;10;Outubro;4;28;Terça-feira;False;2025-10
2025-10-29;2025;10;Outubro;4;29;Quarta-feira;False;2025-10
2025-10-30;2025;10;Outubro;4;30;Quinta-feira;False;2025-10
2025-10-31;2025;10;Outubro;4;31;Sexta-feira;False;2025-10
2025-11-01;2025;11;Novembro;4;1;Sábado;True;2025-11
2025-11-02;2025;11;Novembro;4;2;Domingo;True;2025-11
2025-11-03;2025;11;Novembro;4;3;Segunda-feira;False;2025-11
2025-11-04;2025;11;Novembro;4;4;Terça-feira;False;2025-11
